图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,close-预测置信度,down-预测置信度,forward-预测置信度,left-预测置信度,leftdown-预测置信度,lefttop-预测置信度,right-预测置信度,rightdown-预测置信度,righttop-预测置信度,top-预测置信度
E:\10\final\val\close\32oy0.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999523,3.786273e-05,4.0313907e-08,1.0076468e-08,1.3107102e-07,4.79101e-07,1.177776e-07,7.685813e-06,6.820662e-07,6.8942666e-07
E:\10\final\val\close\32oy1.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999989,9.258078e-07,1.8027427e-10,9.1106414e-11,1.698425e-09,8.032196e-09,1.2899514e-09,1.7554684e-07,1.0487115e-08,6.4537065e-09
E:\10\final\val\close\32oy11.jpg,0,close,0,close,1,down,7,rightdown,True,0.99997413,2.5094443e-05,5.168172e-09,9.897004e-10,3.5156273e-08,3.3369073e-08,5.475811e-09,6.5342476e-07,1.1506139e-08,4.368065e-08
E:\10\final\val\close\32oy12.jpg,0,close,0,close,1,down,7,rightdown,True,0.99997854,2.0725302e-05,4.5640576e-09,3.0353233e-09,1.0475132e-07,1.0452359e-07,3.399012e-09,4.438367e-07,6.624055e-09,3.891551e-08
E:\10\final\val\close\32oy13.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999151,7.03565e-05,1.7487839e-08,3.1419323e-10,1.1017267e-08,1.3770311e-08,6.620884e-08,1.4015905e-05,1.8980852e-07,1.7050452e-07
E:\10\final\val\close\32oy14.jpg,0,close,0,close,7,rightdown,1,down,True,0.999943,1.4308633e-05,2.584167e-09,3.5721478e-11,9.444447e-10,8.935584e-10,1.3437459e-07,4.217606e-05,4.102845e-07,2.416187e-08
E:\10\final\val\close\32oy15.jpg,0,close,0,close,7,rightdown,8,righttop,True,0.9999969,3.8925077e-07,2.8593758e-10,4.8925313e-12,1.7242317e-11,1.1245962e-09,2.764879e-08,1.4248526e-06,1.1932789e-06,4.860415e-08
E:\10\final\val\close\32oy16.jpg,0,close,0,close,1,down,7,rightdown,True,0.999255,0.000643447,6.898574e-08,7.307846e-09,1.2204027e-06,3.363033e-08,1.4357994e-07,9.994522e-05,5.4219253e-08,6.359278e-08
E:\10\final\val\close\32oy17.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999436,4.8987822e-05,1.7633661e-09,1.2655443e-09,4.8644614e-07,5.9657896e-09,4.5554187e-09,6.8640775e-06,2.2391902e-09,2.1352122e-09
E:\10\final\val\close\32oy18.jpg,0,close,0,close,7,rightdown,1,down,True,0.9990872,6.937423e-05,1.4648373e-07,8.449242e-09,7.734174e-08,5.3081486e-08,1.1929116e-05,0.00080138777,2.9104722e-05,7.2222656e-07
