epoch,batch,train_loss,train_accuracy
1,1,2.3016396,0.0625
1,1,2.3021894,0.03125
1,1,2.3031363,0.1875
1,1,2.3024998,0.15625
1,1,2.3033085,0.09375
1,1,2.3039844,0.03125
1,1,2.3048966,0.125
1,1,2.30277,0.03125
1,1,2.3044353,0.125
1,1,2.3010247,0.125
1,1,2.3016086,0.09375
1,1,2.3052454,0.0
1,1,2.30364,0.0625
1,1,2.3032584,0.09375
1,1,2.2999616,0.125
1,1,2.3032181,0.15625
1,1,2.3048167,0.09375
1,1,2.3026624,0.0625
1,1,2.3016891,0.09375
1,1,2.3017309,0.0625
1,1,2.2984593,0.125
1,1,2.2995214,0.1875
1,1,2.3086774,0.0
1,1,2.3028748,0.09375
1,1,2.3088045,0.03125
1,1,2.2973816,0.1875
1,1,2.303484,0.15625
1,1,2.3033326,0.0625
1,1,2.3062232,0.0
1,1,2.3018157,0.15625
1,1,2.3021703,0.125
1,1,2.3030171,0.09375
1,1,2.3054066,0.0625
1,1,2.3052874,0.0625
1,1,2.3045833,0.0625
1,1,2.3031096,0.09375
1,1,2.3017638,0.0
1,1,2.3036966,0.0625
1,1,2.2972593,0.15625
1,1,2.2993836,0.1875
1,1,2.3018017,0.125
1,1,2.2985575,0.1875
1,1,2.3047256,0.125
1,1,2.298633,0.09375
1,1,2.302454,0.03125
1,1,2.300721,0.125
1,1,2.300243,0.15625
1,1,2.3008142,0.09375
1,1,2.301853,0.125
1,1,2.3050215,0.125
1,1,2.3072867,0.0625
1,1,2.303945,0.09375
1,1,2.300004,0.0625
1,1,2.302356,0.0
1,1,2.302556,0.1875
1,1,2.2996242,0.1875
1,1,2.299199,0.1875
1,1,2.3033783,0.03125
1,1,2.299532,0.1875
1,1,2.3018978,0.0625
1,1,2.3031213,0.09375
1,1,2.3029902,0.09375
1,1,2.3016973,0.125
1,1,2.298995,0.1875
1,1,2.2961292,0.1875
1,1,2.299588,0.15625
1,1,2.30404,0.0625
1,1,2.295405,0.1875
1,1,2.3008096,0.15625
1,1,2.3035424,0.03125
1,1,2.3057384,0.0625
1,1,2.305858,0.0625
1,1,2.3004138,0.09375
1,1,2.2986267,0.09375
1,1,2.3036833,0.0625
1,1,2.3067932,0.0625
1,1,2.3039875,0.125
1,1,2.2989678,0.1875
1,1,2.297941,0.09375
1,1,2.3001187,0.125
1,1,2.3024793,0.09375
1,1,2.2964673,0.1875
1,1,2.303414,0.0625
1,1,2.302788,0.125
1,1,2.3013628,0.15625
1,1,2.3041785,0.125
1,1,2.30268,0.09375
1,1,2.301095,0.15625
1,1,2.3027143,0.0
1,1,2.3068063,0.0625
1,1,2.3015907,0.03125
1,1,2.3017967,0.125
1,1,2.3012798,0.0625
1,1,2.3047807,0.15625
1,1,2.2988286,0.03125
1,1,2.3012805,0.0625
1,1,2.2960765,0.15625
1,1,2.3032508,0.0625
1,1,2.3003895,0.15625
1,1,2.2993178,0.09375
1,1,2.299322,0.1875
1,1,2.3031316,0.0625
1,1,2.3066456,0.03125
1,1,2.3038645,0.0625
1,1,2.301099,0.125
1,1,2.2980087,0.15625
1,1,2.3038816,0.03125
1,1,2.2999864,0.125
1,1,2.2988493,0.125
1,1,2.2972991,0.25
1,1,2.2990372,0.0625
1,1,2.3069322,0.09375
1,1,2.3009753,0.15625
1,1,2.301865,0.09375
1,1,2.3014784,0.09375
1,1,2.307261,0.09375
1,1,2.3004403,0.21875
1,1,2.299982,0.09375
1,1,2.2983465,0.09375
1,1,2.2951722,0.25
1,1,2.3010705,0.0625
1,1,2.3046787,0.09375
1,1,2.3063855,0.0625
1,1,2.3015342,0.03125
1,1,2.300521,0.25
1,1,2.2976263,0.09375
1,1,2.3029397,0.0625
1,1,2.301044,0.125
1,1,2.2992134,0.15625
1,1,2.2990284,0.1875
1,1,2.300999,0.125
1,1,2.305576,0.09375
1,1,2.301473,0.09375
1,1,2.304131,0.125
1,1,2.3028176,0.1875
1,1,2.3003457,0.1875
