epoch,batch,train_loss,train_accuracy
1,1,2.3037512,0.09375
1,1,2.305164,0.0625
1,1,2.303427,0.09375
1,1,2.302911,0.125
1,1,2.301704,0.21875
1,1,2.3026872,0.0625
1,1,2.3004484,0.15625
1,1,2.3010445,0.125
1,1,2.3049204,0.03125
1,1,2.3032248,0.09375
1,1,2.3031402,0.09375
1,1,2.3014286,0.125
1,1,2.3000224,0.125
1,1,2.3011615,0.1875
1,1,2.3016279,0.15625
1,1,2.3017507,0.09375
1,1,2.303408,0.03125
1,1,2.3011744,0.03125
1,1,2.3042145,0.03125
1,1,2.3012757,0.21875
1,1,2.3007681,0.0625
1,1,2.3001378,0.125
1,1,2.3010678,0.125
1,1,2.304063,0.0625
1,1,2.3033922,0.09375
1,1,2.306226,0.0
1,1,2.301348,0.15625
1,1,2.299665,0.15625
1,1,2.3006587,0.0625
1,1,2.29986,0.1875
1,1,2.3034742,0.03125
1,1,2.304293,0.09375
1,1,2.3010166,0.09375
1,1,2.3051436,0.09375
1,1,2.303141,0.125
1,1,2.3034317,0.09375
1,1,2.3037255,0.0625
1,1,2.3012245,0.09375
1,1,2.3014338,0.09375
1,1,2.3036692,0.09375
1,1,2.3049498,0.0625
1,1,2.3018482,0.09375
1,1,2.3061342,0.03125
1,1,2.304229,0.15625
1,1,2.300266,0.125
1,1,2.3052251,0.03125
1,1,2.2979324,0.1875
1,1,2.3047094,0.125
1,1,2.3029869,0.125
1,1,2.3019319,0.09375
1,1,2.3003225,0.28125
1,1,2.302077,0.0625
1,1,2.3002608,0.125
1,1,2.3016546,0.15625
1,1,2.3000944,0.1875
1,1,2.3041377,0.03125
1,1,2.3026726,0.09375
1,1,2.3032799,0.0625
1,1,2.297131,0.15625
1,1,2.3048832,0.09375
1,1,2.29879,0.1875
1,1,2.3032935,0.09375
1,1,2.298166,0.21875
1,1,2.3026094,0.0625
1,1,2.3002052,0.15625
1,1,2.300441,0.21875
1,1,2.3003957,0.1875
1,1,2.3014557,0.09375
1,1,2.3028445,0.09375
1,1,2.3016348,0.09375
1,1,2.299287,0.1875
1,1,2.3033478,0.09375
1,1,2.3028011,0.125
1,1,2.3007054,0.125
1,1,2.303235,0.15625
1,1,2.3047786,0.03125
1,1,2.3048377,0.0625
1,1,2.2982109,0.125
1,1,2.302106,0.15625
1,1,2.2964203,0.1875
1,1,2.3020985,0.09375
1,1,2.3036075,0.09375
1,1,2.2975626,0.15625
1,1,2.297961,0.1875
1,1,2.305834,0.09375
1,1,2.302017,0.125
1,1,2.298647,0.1875
1,1,2.299731,0.125
1,1,2.2968578,0.21875
1,1,2.3013506,0.125
1,1,2.296602,0.15625
1,1,2.3042834,0.03125
1,1,2.2971745,0.15625
1,1,2.2949047,0.25
1,1,2.3086503,0.125
