epoch,batch,train_loss,train_accuracy
1,1,2.271671,0.0625
1,1,2.3116126,0.15625
1,1,2.2982292,0.15625
1,1,2.308222,0.125
1,1,2.3340826,0.09375
1,1,2.2966142,0.03125
1,1,2.3109186,0.15625
1,1,2.2953558,0.15625
1,1,2.3362715,0.09375
1,1,2.3332043,0.125
1,1,2.3557022,0.0625
1,1,2.3151345,0.09375
1,1,2.2672174,0.21875
1,1,2.3079505,0.0625
1,1,2.307687,0.21875
1,1,2.2943647,0.09375
1,1,2.3016405,0.125
1,1,2.3176486,0.0625
1,1,2.3338838,0.0625
1,1,2.3239877,0.15625
1,1,2.3353279,0.15625
1,1,2.3424292,0.09375
1,1,2.25646,0.1875
1,1,2.2677474,0.28125
1,1,2.273866,0.0625
1,1,2.3185117,0.0625
1,1,2.3238764,0.09375
1,1,2.271199,0.21875
1,1,2.337824,0.0625
1,1,2.3172836,0.0625
1,1,2.3467093,0.09375
1,1,2.3114686,0.0625
1,1,2.3100114,0.09375
1,1,2.282709,0.125
1,1,2.3334894,0.15625
1,1,2.4074347,0.0
1,1,2.3410232,0.0625
1,1,2.3150074,0.09375
1,1,2.3083923,0.0625
1,1,2.3083453,0.125
1,1,2.326963,0.09375
1,1,2.292755,0.125
1,1,2.3600335,0.0625
1,1,2.2572062,0.125
1,1,2.3,0.25
1,1,2.2832778,0.15625
1,1,2.2569594,0.25
1,1,2.3067741,0.15625
1,1,2.244453,0.1875
1,1,2.3511362,0.03125
1,1,2.2887194,0.125
1,1,2.3444963,0.03125
1,1,2.3314924,0.125
1,1,2.2845733,0.125
1,1,2.33478,0.15625
1,1,2.3098414,0.15625
1,1,2.3228357,0.1875
1,1,2.3245535,0.125
1,1,2.3281846,0.03125
1,1,2.3791988,0.0625
1,1,2.2528758,0.15625
1,1,2.3648167,0.15625
1,1,2.3313675,0.1875
1,1,2.2594547,0.1875
1,1,2.3337147,0.03125
1,1,2.3307905,0.09375
1,1,2.2846563,0.125
1,1,2.2864199,0.125
1,1,2.3291025,0.09375
1,1,2.3182619,0.1875
1,1,2.2911434,0.15625
1,1,2.3120592,0.03125
1,1,2.2632601,0.15625
1,1,2.3423085,0.09375
1,1,2.295126,0.15625
1,1,2.3352866,0.03125
1,1,2.3767173,0.09375
1,1,2.3406386,0.125
1,1,2.2923932,0.125
1,1,2.3466804,0.125
1,1,2.34166,0.09375
1,1,2.2766855,0.125
1,1,2.337567,0.09375
1,1,2.3474314,0.03125
1,1,2.3135986,0.09375
1,1,2.2875655,0.125
1,1,2.3119082,0.09375
1,1,2.321242,0.0625
1,1,2.365923,0.125
1,1,2.2657366,0.15625
