epoch,batch,train_loss,train_accuracy
1,1,2.2943807,0.125
1,1,2.3104913,0.15625
1,1,2.4480426,0.09375
1,1,2.292819,0.03125
1,1,2.3107545,0.21875
1,1,2.324343,0.125
1,1,2.2831256,0.0625
1,1,2.2700055,0.15625
1,1,2.2887442,0.09375
1,1,2.3198361,0.03125
1,1,2.3073106,0.125
1,1,2.3382745,0.09375
1,1,2.3375711,0.09375
1,1,2.320424,0.09375
1,1,2.26022,0.21875
1,1,2.2696168,0.15625
1,1,2.296235,0.125
1,1,2.278612,0.09375
1,1,2.3145962,0.125
1,1,2.2888346,0.15625
1,1,2.280289,0.15625
1,1,2.3631063,0.0625
1,1,2.3485734,0.0625
1,1,2.325963,0.15625
1,1,2.32935,0.15625
1,1,2.3418014,0.09375
1,1,2.3191245,0.15625
1,1,2.2710438,0.21875
1,1,2.279985,0.1875
1,1,2.314258,0.09375
1,1,2.3328528,0.03125
1,1,2.2586982,0.15625
1,1,2.2627306,0.125
1,1,2.319494,0.125
1,1,2.4027393,0.0625
1,1,2.3534677,0.0625
1,1,2.3823323,0.03125
1,1,2.3144002,0.0625
1,1,2.301676,0.03125
1,1,2.3065856,0.0625
1,1,2.2856174,0.0625
1,1,2.3598273,0.0625
1,1,2.2747762,0.125
1,1,2.337626,0.09375
1,1,2.2881227,0.1875
1,1,2.3522937,0.0625
1,1,2.242577,0.28125
1,1,2.287994,0.09375
1,1,2.2455266,0.15625
1,1,2.3228488,0.15625
1,1,2.2434065,0.09375
1,1,2.356828,0.03125
1,1,2.2692034,0.125
1,1,2.2945533,0.15625
1,1,2.2779295,0.1875
1,1,2.3108907,0.0625
1,1,2.3057942,0.15625
1,1,2.3815875,0.0625
1,1,2.3245106,0.09375
1,1,2.3159785,0.21875
1,1,2.3749192,0.0
1,1,2.394308,0.0625
1,1,2.3807054,0.0
1,1,2.3258283,0.15625
1,1,2.2835655,0.125
1,1,2.316638,0.09375
1,1,2.312187,0.15625
1,1,2.3062496,0.0625
1,1,2.2869847,0.15625
1,1,2.3500745,0.09375
1,1,2.322237,0.03125
1,1,2.3241756,0.0625
1,1,2.343813,0.03125
1,1,2.3212988,0.09375
1,1,2.3297563,0.0625
1,1,2.2369096,0.15625
1,1,2.2796838,0.1875
1,1,2.2939055,0.15625
1,1,2.278464,0.15625
1,1,2.3064787,0.125
1,1,2.271681,0.15625
1,1,2.324723,0.125
1,1,2.2419024,0.09375
1,1,2.3635063,0.0625
1,1,2.2970932,0.125
1,1,2.3462029,0.09375
1,1,2.3058333,0.09375
1,1,2.321585,0.03125
1,1,2.305114,0.09375
1,1,2.331937,0.15625
1,1,2.2948267,0.09375
1,1,2.3655372,0.15625
1,1,2.289368,0.09375
1,1,2.305955,0.125
1,1,2.2777414,0.0625
1,1,2.3368576,0.125
1,1,2.2871811,0.15625
1,1,2.3240292,0.125
1,1,2.300863,0.0625
1,1,2.2517052,0.09375
1,1,2.2958143,0.25
1,1,2.3137233,0.03125
1,1,2.2944736,0.15625
1,1,2.3240023,0.125
1,1,2.3458405,0.09375
1,1,2.3136237,0.09375
1,1,2.3025289,0.1875
1,1,2.3215022,0.03125
1,1,2.2876754,0.125
1,1,2.2959976,0.125
1,1,2.2431269,0.25
1,1,2.3419402,0.125
1,1,2.3089464,0.125
1,1,2.252397,0.0625
1,1,2.3267899,0.0625
1,1,2.3007264,0.0625
1,1,2.3236861,0.15625
1,1,2.321249,0.0625
1,1,2.2661085,0.09375
1,1,2.2686841,0.15625
1,1,2.336092,0.09375
1,1,2.2822354,0.09375
1,1,2.3148332,0.1875
1,1,2.3035989,0.09375
1,1,2.2469475,0.15625
1,1,2.2412758,0.0625
1,1,2.3146155,0.125
1,1,2.3448126,0.125
1,1,2.2991688,0.03125
1,1,2.3174763,0.125
1,1,2.31846,0.125
1,1,2.2787476,0.21875
1,1,2.3139129,0.125
1,1,2.2345514,0.3125
1,1,2.3004906,0.0625
1,1,2.3436737,0.09375
1,1,2.2992914,0.21875
1,1,2.24329,0.15625
1,1,2.303017,0.15625
1,1,2.3506603,0.0625
