epoch,batch,train_loss,train_accuracy
1,1,2.3105743,0.0
1,1,2.300952,0.125
1,1,2.3032706,0.0625
1,1,2.3114157,0.03125
1,1,2.303436,0.125
1,1,2.2962894,0.15625
1,1,2.2856653,0.25
1,1,2.3086095,0.0625
1,1,2.3077898,0.09375
1,1,2.3045053,0.15625
1,1,2.3253171,0.03125
1,1,2.3162105,0.03125
1,1,2.2905207,0.125
1,1,2.3276303,0.09375
1,1,2.3098285,0.0625
1,1,2.291144,0.1875
1,1,2.2916927,0.15625
1,1,2.2776878,0.1875
1,1,2.2978837,0.09375
1,1,2.2869933,0.09375
1,1,2.306088,0.125
1,1,2.3326702,0.0625
1,1,2.3108578,0.03125
1,1,2.308591,0.15625
1,1,2.3369017,0.0
1,1,2.308461,0.09375
1,1,2.306531,0.125
1,1,2.3190997,0.15625
1,1,2.264232,0.21875
1,1,2.3047295,0.15625
1,1,2.3124533,0.09375
1,1,2.299201,0.15625
1,1,2.29684,0.15625
1,1,2.3150644,0.125
1,1,2.3110304,0.15625
1,1,2.2874005,0.15625
1,1,2.2940464,0.15625
1,1,2.3134124,0.09375
1,1,2.2778344,0.125
1,1,2.2986157,0.15625
1,1,2.2743578,0.1875
1,1,2.3095365,0.125
1,1,2.3053596,0.15625
1,1,2.3080502,0.09375
1,1,2.301755,0.15625
1,1,2.2974765,0.15625
1,1,2.2875137,0.15625
1,1,2.2812638,0.0625
1,1,2.3001385,0.125
1,1,2.2955737,0.1875
1,1,2.2768676,0.1875
1,1,2.275623,0.25
1,1,2.310273,0.0625
1,1,2.3037949,0.15625
1,1,2.2765348,0.1875
1,1,2.317964,0.03125
1,1,2.3174884,0.125
1,1,2.2719169,0.25
1,1,2.3151946,0.0625
1,1,2.291306,0.15625
1,1,2.3117375,0.125
1,1,2.27238,0.1875
1,1,2.324565,0.0625
1,1,2.257882,0.21875
1,1,2.27524,0.15625
1,1,2.30275,0.09375
1,1,2.26957,0.15625
1,1,2.3213387,0.09375
1,1,2.293075,0.125
1,1,2.3104737,0.125
1,1,2.313403,0.09375
1,1,2.2807763,0.125
1,1,2.295744,0.15625
1,1,2.2619364,0.1875
1,1,2.3472457,0.03125
1,1,2.3147144,0.03125
1,1,2.3133664,0.0625
1,1,2.273675,0.1875
1,1,2.3340864,0.09375
1,1,2.3242793,0.125
1,1,2.2829804,0.15625
1,1,2.316345,0.0625
1,1,2.2790132,0.1875
1,1,2.3031914,0.125
1,1,2.264685,0.1875
1,1,2.305087,0.03125
1,1,2.283572,0.15625
1,1,2.3353827,0.03125
1,1,2.2758827,0.15625
1,1,2.2959294,0.0625
1,1,2.3037517,0.0625
1,1,2.2734952,0.15625
1,1,2.276685,0.15625
1,1,2.2663345,0.125
1,1,2.3449001,0.03125
1,1,2.28834,0.1875
1,1,2.3200426,0.0625
1,1,2.3118672,0.0625
1,1,2.2804818,0.09375
1,1,2.301352,0.0625
1,1,2.3262851,0.15625
1,1,2.2902684,0.15625
1,1,2.3027976,0.0625
1,1,2.3250887,0.0625
1,1,2.2850158,0.15625
1,1,2.2831867,0.09375
1,1,2.3384376,0.125
1,1,2.3182733,0.09375
1,1,2.323316,0.0625
1,1,2.2850397,0.125
1,1,2.2988455,0.09375
1,1,2.2698545,0.3125
1,1,2.3098338,0.09375
1,1,2.2919633,0.1875
1,1,2.2758913,0.21875
1,1,2.30167,0.125
1,1,2.2975414,0.15625
1,1,2.3223672,0.09375
1,1,2.2983248,0.09375
1,1,2.2830057,0.15625
1,1,2.3160565,0.09375
1,1,2.332326,0.03125
1,1,2.2741244,0.21875
1,1,2.2912722,0.15625
1,1,2.2820277,0.15625
1,1,2.2817612,0.15625
1,1,2.2985935,0.15625
1,1,2.3194487,0.03125
1,1,2.309457,0.125
1,1,2.265521,0.21875
1,1,2.2951007,0.09375
1,1,2.2945364,0.15625
1,1,2.2925997,0.09375
1,1,2.3048615,0.09375
1,1,2.331203,0.0625
1,1,2.3116894,0.03125
1,1,2.320819,0.0
1,1,2.296297,0.1875
1,1,2.3373291,0.0
1,1,2.3064067,0.0625
1,1,2.3195894,0.0625
1,1,2.3006349,0.15625
1,1,2.297145,0.15625
1,1,2.3100302,0.1875
1,1,2.290227,0.15625
1,1,2.2923298,0.125
1,1,2.3029344,0.09375
1,1,2.2789755,0.1875
1,1,2.2810593,0.1875
1,1,2.3150704,0.03125
1,1,2.2790537,0.15625
1,1,2.301492,0.125
1,1,2.2825937,0.1875
1,1,2.2837868,0.21875
1,1,2.2901802,0.1875
1,1,2.2918904,0.09375
1,1,2.3076687,0.125
1,1,2.270711,0.15625
1,1,2.2755115,0.1875
1,1,2.2775323,0.15625
1,1,2.3171382,0.125
1,1,2.304902,0.09375
1,1,2.2716022,0.1875
1,1,2.2652073,0.25
1,1,2.3026447,0.09375
1,1,2.297249,0.1875
1,1,2.303366,0.09375
1,1,2.2577658,0.15625
1,1,2.3005285,0.21875
1,1,2.3278182,0.0
1,1,2.294447,0.0625
1,1,2.3263984,0.03125
1,1,2.3125966,0.0625
1,1,2.3452888,0.03125
1,1,2.256147,0.21875
1,1,2.2606585,0.1875
1,1,2.3328056,0.09375
1,1,2.2809825,0.15625
1,1,2.2584252,0.15625
1,1,2.2753491,0.15625
1,1,2.3006287,0.0625
1,1,2.283633,0.125
1,1,2.3036299,0.15625
1,1,2.30062,0.0625
1,1,2.2946146,0.125
1,1,2.3507428,0.0
1,1,2.3158529,0.15625
1,1,2.2721448,0.1875
1,1,2.3004146,0.0625
1,1,2.3028834,0.09375
1,1,2.3117833,0.09375
1,1,2.3276823,0.0625
1,1,2.2826827,0.25
1,1,2.2724397,0.125
1,1,2.3086033,0.03125
1,1,2.3153431,0.125
1,1,2.316347,0.09375
1,1,2.295162,0.0625
1,1,2.290821,0.15625
1,1,2.3110487,0.09375
1,1,2.269766,0.1875
1,1,2.3079398,0.09375
1,1,2.3193097,0.09375
1,1,2.3000748,0.1875
1,1,2.3100226,0.0625
1,1,2.290085,0.125
1,1,2.3214922,0.0625
1,1,2.2999482,0.09375
1,1,2.3185136,0.09375
1,1,2.2973964,0.125
1,1,2.285339,0.21875
1,1,2.2974284,0.21875
1,1,2.2901564,0.1875
1,1,2.3117044,0.03125
1,1,2.305159,0.15625
1,1,2.2916753,0.15625
1,1,2.2783728,0.21875
1,1,2.2899194,0.21875
1,1,2.3225818,0.0
1,1,2.3102362,0.09375
1,1,2.2833903,0.125
1,1,2.3325837,0.0625
1,1,2.2994606,0.15625
1,1,2.296125,0.15625
1,1,2.2787309,0.1875
1,1,2.2980378,0.0625
1,1,2.2829208,0.25
1,1,2.2921107,0.15625
1,1,2.287365,0.15625
1,1,2.2864938,0.09375
1,1,2.2985396,0.09375
1,1,2.3067951,0.0625
1,1,2.279673,0.15625
1,1,2.2893403,0.15625
1,1,2.301379,0.125
1,1,2.2853234,0.09375
1,1,2.3071394,0.0625
1,1,2.2960417,0.09375
1,1,2.3024058,0.125
1,1,2.2948582,0.15625
1,1,2.2880502,0.15625
1,1,2.30797,0.09375
1,1,2.2799106,0.125
1,1,2.2680442,0.25
1,1,2.2801182,0.125
1,1,2.2900286,0.21875
1,1,2.2937126,0.15625
1,1,2.3159444,0.0625
1,1,2.2974455,0.09375
1,1,2.3037107,0.0625
1,1,2.311791,0.125
1,1,2.252624,0.21875
1,1,2.3105814,0.09375
1,1,2.271738,0.1875
1,1,2.303332,0.0625
1,1,2.3075213,0.09375
1,1,2.2853045,0.15625
1,1,2.3093424,0.0625
1,1,2.2468023,0.21875
1,1,2.3171718,0.0625
1,1,2.2895873,0.15625
1,1,2.3084557,0.09375
1,1,2.275704,0.15625
1,1,2.3157332,0.09375
1,1,2.3036616,0.09375
1,1,2.3103807,0.0625
1,1,2.2941713,0.0625
1,1,2.3033268,0.0625
1,1,2.2377584,0.3125
1,1,2.2755885,0.15625
1,1,2.289967,0.09375
1,1,2.2676604,0.15625
1,1,2.2659357,0.125
1,1,2.298957,0.09375
1,1,2.2246573,0.1875
1,1,2.3228211,0.09375
1,1,2.2841148,0.15625
1,1,2.308768,0.09375
1,1,2.2881598,0.1875
1,1,2.2968268,0.15625
1,1,2.3165498,0.09375
1,1,2.2648654,0.1875
1,1,2.2973266,0.09375
1,1,2.306195,0.0625
1,1,2.2619424,0.21875
1,1,2.254546,0.125
1,1,2.2539735,0.21875
1,1,2.2661066,0.15625
1,1,2.2579992,0.21875
1,1,2.302975,0.03125
1,1,2.2558692,0.21875
1,1,2.318868,0.09375
1,1,2.2522793,0.125
1,1,2.3526473,0.09375
1,1,2.3664172,0.03125
1,1,2.293627,0.09375
1,1,2.2963266,0.15625
1,1,2.3025572,0.09375
1,1,2.309373,0.15625
1,1,2.3132925,0.15625
1,1,2.277494,0.25
1,1,2.309983,0.0625
1,1,2.3013122,0.125
1,1,2.299489,0.09375
1,1,2.3206592,0.09375
1,1,2.288537,0.1875
1,1,2.2785144,0.15625
1,1,2.2723827,0.21875
1,1,2.3206284,0.0625
1,1,2.3193123,0.125
1,1,2.2672226,0.3125
1,1,2.319613,0.0625
1,1,2.31262,0.125
1,1,2.2959013,0.09375
1,1,2.2763095,0.125
1,1,2.3013241,0.09375
1,1,2.2879772,0.09375
1,1,2.2963789,0.03125
1,1,2.2970374,0.1875
1,1,2.3498867,0.09375
1,1,2.2844815,0.1875
1,1,2.2870986,0.1875
1,1,2.289466,0.1875
1,1,2.3298304,0.03125
1,1,2.305009,0.125
1,1,2.3310485,0.03125
1,1,2.2718372,0.1875
1,1,2.3074083,0.125
1,1,2.3066123,0.0625
1,1,2.302794,0.09375
1,1,2.3015862,0.03125
1,1,2.3278103,0.03125
1,1,2.2837062,0.21875
1,1,2.2759397,0.1875
1,1,2.2986932,0.0625
1,1,2.2903361,0.21875
1,1,2.3075576,0.09375
1,1,2.307252,0.09375
1,1,2.303191,0.03125
1,1,2.2863684,0.21875
1,1,2.2843387,0.15625
1,1,2.3308756,0.03125
1,1,2.288176,0.09375
